ID,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Expected_Lifetime,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
AAUSat-3,Denmark,Civil,Technology Development,LEO,,770.0,787.0,0.00119,100.42,0.8,,,41330.0,1.0,Denmark,Satish Dhawan Space Center,PSLV,SC - ASCR,,1.7214182409999998
"ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)",International,Commercial,Communications,GEO,,35777.0,35794.0,0.0002,1436.08,2894.0,1730.0,6800.0,36429.0,15.0,USA,Baikonur Cosmodrome,Proton,JM/12_08,1.309520538,0.000174533
"ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)",International,Commercial,Communications,GEO,,35785.0,35789.0,5e-05,1436.13,1459.0,800.0,1600.0,35078.0,10.0,USA,Cape Canaveral,Delta 2,JM/12_08,2.03400671,0.032463124
"ABS-2i (MBSat, Mobile Broadcasting Satellite, Han Byul)",China (PR),Commercial,Communications,GEO,,35780.0,35793.0,0.00015,1436.1,4143.0,1700.0,7400.0,38059.0,12.0,USA,Cape Canaveral,Atlas 3,JM/12_08,1.308996939,0.000174533
"ABS-7 (Koreasat 3, Mugungwha 3)",International,Commercial,Communications,GEO,,35780.0,35791.0,0.00013000000000000002,1436.06,3500.0,1800.0,4800.0,36407.0,15.0,USA,Guiana Space Center,Ariane,JM/12_08,2.027723525,0.000174533
AcrimSat (Active Cavity Radiometer Irradiance Monitor),USA,Government,Solar Physics,LEO,Sun-Synchronous,670.0,710.0,0.00283,98.6,115.0,13.0,10.0,36515.0,5.0,USA,Vandenberg AFB,Taurus,www.satellitedebris.net 12/12,,1.706932008
"Advanced Orion 2 (NROL 6, USA 139)",USA,Military,Electronic Surveillance,GEO,,35560.0,36013.0,0.005370000000000001,1436.14,4500.0,,,35924.0,,USA,Cape Canaveral,Titan IVA,JM/12_08,-0.253072742,0.134739418
"Advanced Orion 3 (NROL 19, USA 171)",USA,Military,Electronic Surveillance,GEO,,35589.0,35984.0,0.00468,1436.1,4500.0,,,37873.0,,USA,Cape Canaveral,Titan IV,JM/12_08,1.665044106,0.055850536
"Advanced Orion 4 (NRO L-26, USA 202)",USA,Military,Electronic Surveillance,GEO,,35714.0,35937.0,0.00264,1438.8,5000.0,,,39831.0,,USA,Cape Canaveral,Delta 4 Heavy,SC - ASCR,0.767944871,0.050440015
"Advanced Orion 5 (NRO L-32, USA 223)",USA,Military,Electronic Surveillance,GEO,,35500.0,35500.0,0.0,,5000.0,,,40503.0,,USA,Cape Canaveral,Delta 4 Heavy,SC - ASCR,1.761037215,0.0
"Advanced Orion 6 (NRO L-15, USA 237)",USA,Military,Electronic Surveillance,GEO,,35771.0,35805.0,0.0004,23.94,5000.0,,,41089.0,,USA,Cape Canaveral,Delta 4 Heavy,CalSky,1.047197551,0.0
"AEHF-1 (Advanced Extremely High Frequency satellite-1, USA 214)",USA,Military,Communications,GEO,,35872.0,36103.0,0.00273,1446.36,6169.0,,,40404.0,14.0,USA,Cape Canaveral,Atlas 5,SC - ASCR,-1.2042771840000002,0.076096355
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,Military,Communications,GEO,,35700.0,35700.0,0.0,1306.29,6169.0,,,41032.0,14.0,USA,Cape Canaveral,Atlas 5,ZARYA,-2.094395102,0.355872634
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,Military,Communications,GEO,,35700.0,35700.0,0.0,1306.29,6169.0,,,41535.0,14.0,USA,Cape Canaveral,Atlas 5,ZARYA,,0.355872634
Aeneas,USA,Government,Technology Development,LEO,,480.0,790.0,0.02213,97.4,3.0,,,41165.0,,USA,Vandenberg AFB,Atlas 5,ZARYA,,0.000349066
Aerocube 4.5A,USA,Commercial,Technology Development,LEO,,495.0,791.0,0.0211,97.5,4.5,,,41165.0,,USA,Vandenberg AFB,Atlas 5,ZARYA,,1.127482697
Aerocube 4.5B,USA,Commercial,Technology Development,LEO,,499.0,792.0,0.020880000000000003,97.6,4.5,,,41165.0,,USA,Vandenberg AFB,Atlas 5,ZARYA,,1.127482697
Aerocube 5A,USA,Commercial,Technology Development,LEO,,443.0,886.0,0.03149,98.0,5.0,,,41614.0,2.0,USA,Vandenberg AFB,Atlas 5,ZARYA,,2.09963109
Aerocube 5B,USA,Commercial,Technology Development,LEO,,443.0,886.0,0.03149,98.0,5.0,,,41614.0,2.0,USA,Vandenberg AFB,Atlas 5,ZARYA,,2.09963109
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M)",Multinational,Commercial,Communications,GEO,,35764.0,35808.0,0.0005200000000000001,1436.08,3460.0,1555.0,7000.0,39802.0,15.0,France,Guiana Space Center,Ariane 5,JM/12_08,0.837758041,0.002094395
"Africasat-1 (Measat 1, Malaysia East Asia Sat 1)",Malaysia,Commercial,Communications,GEO,,35784.0,35787.0,4e-05,1436.06,1450.0,650.0,1200.0,35077.0,12.2,USA,Guiana Space Center,Ariane 44L,JM/12_08,0.803375055,0.019547688
Afristar,USA,Commercial,Communications,GEO,,35770.0,35802.0,0.00038,1436.09,2704.0,1530.0,5500.0,36096.0,15.0,France,Guiana Space Center,Ariane 44L,JM/12_08,0.365995544,0.000523599
"Agila 2/ABS-5 (Agila 2, Mabuhay 1)",International,Commercial,Communications,GEO,,35769.0,35802.0,0.00039,1436.07,3775.0,1800.0,9000.0,35661.0,15.0,USA,Xichang Satellite Launch Center,Long March CZ3B,JM/12_08,2.549227905,0.000872665
AGILE (Astro-rivelatore Gamma a Immagini Leggaro),Italy,Government,Scientific Research,LEO,,510.0,534.0,0.0017399999999999998,95.1,325.0,,,39195.0,3.0,Italy,Satish Dhawan Space Center,PSLV C8,www.satellitedebris.net 12/12,,0.043633231
AIM (Aeronomy of Ice in Mesosphere),USA,Government,Earth Science,LEO,,570.0,583.0,0.00094,96.2,215.0,197.0,216.0,39197.0,2.0,USA,Vandenberg AFB,Pegasus XL,www.satellitedebris.net 12/12,,1.706932008
AISSat-1 (Automatic Identification System Satellite-1),Norway,Government,Maritime Tracking/Technology Development,LEO,Sun-Synchronous,615.0,632.0,0.00122,97.2,6.0,,,40371.0,3.0,Canada,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,,1.7104226669999998
AIST-1,Russia,Civil,Technology Development,LEO,,599.0,626.0,0.00193,96.9,,,,41636.0,,Russia,Plesetsk Cosmodrome,Soyuz 2-1B,ZARYA,,1.438151304
AIST-2,Russia,Civil,Technology Development,LEO,,558.0,582.0,0.00173,96.06,53.0,,,41383.0,3.0,Russia,Baikonur Cosmodrome,Soyuz 2-1A,,,1.132369619
Akebono (EXOS-D),Japan,Civil,Space Physics,Elliptical,,264.0,5732.0,0.29184,150.4,,294.0,270.0,32560.0,1.0,Japan,Uchinoura Space Center,Mu 3S2,JMSatcat304,,1.310742268
ALiCEÊÊ(AFIT LEO iMESA CNT E),USA,Military,Technology Development,LEO,,443.0,886.0,0.03149,98.0,5.0,,,41614.0,,USA,Vandenberg AFB,Atlas 5,ZARYA estimated,,2.09963109
Alphasat I-XLÊÊ(Inmarsat IV-A F4),UK/ESA,Commercial/Government,Communications/Technology Development,GEO,,35786.0,35787.0,1e-05,1436.09,6650.0,3370.0,12000.0,41480.0,15.0,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,ZARYA,0.436332313,0.000349066
Alsat-2A (Algeria Satellite 2A),Algeria,Government,Earth Observation,LEO,Sun-Synchronous,672.0,674.0,0.00014,98.2,130.0,,,40371.0,5.0,France/UK/Germany/Spain,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,,1.712167996
Amazonas-1,Brazil,Commercial,Communications,GEO,,35776.0,35797.0,0.00025,1436.1,4545.0,2000.0,9500.0,38203.0,15.0,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,JM/12_08,-1.06499991,0.000698132
Amazonas-2,Spain,Commercial,Communications,GEO,,35767.0,35805.0,0.00045,1436.08,5465.0,,15300.0,40087.0,15.0,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,JM/12_09,-1.064650844,0.000523599
Amazonas-3,Spain,Commercial,Communications,GEO,,35781.0,35791.0,0.00012,1436.05,6265.0,2778.0,14000.0,41312.0,15.0,USA,Guiana Space Center,Ariane 5 ECA,SC - ASCR,-1.064650844,0.000523599
"AMC-1 (Americom 1, GE-1)",USA,Commercial,Communications,GEO,,35772.0,35800.0,0.00033,1436.1,2783.0,1600.0,6500.0,35316.0,15.0,USA,Cape Canaveral,Atlas 2A,JM/12_08,-1.798038195,0.000523599
"AMC-10 (Americom-10, GE 10)",USA,Commercial,Communications,GEO,,35775.0,35797.0,0.00026000000000000003,1436.09,2315.0,907.0,6500.0,38022.0,15.0,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,-2.355670891,0.000174533
"AMC-11 (Americom-11, GE 11)",USA,Commercial,Communications,GEO,,35774.0,35797.0,0.00027,1436.07,2340.0,2316.0,6500.0,38126.0,15.0,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,-2.28515959,0.000698132
AMC-15 (Americom-15),USA,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.08,4200.0,,,38274.0,15.0,USA,Baikonur Cosmodrome,Proton M,JM/12_08,-1.833293846,0.000698132
