id,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Expected_Lifetime,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians
AAUSat-3,12,0,44,2,,770.0,787.0,0.00119,100.42,0.8,,,1.0,13,79,,1.7214182409999998
"ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)",31,5,4,1,,35777.0,35794.0,0.0002,1436.08,2894.0,1730.0,6800.0,15.0,0,95,1.309520538,0.000174533
"ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)",31,5,4,1,,35785.0,35789.0,5e-05,1436.13,1459.0,800.0,1600.0,10.0,1,29,2.03400671,0.032463123999999996
"ABS-2i (MBSat, Mobile Broadcasting Satellite, Han Byul)",11,5,4,1,,35780.0,35793.0,0.00015,1436.1,4143.0,1700.0,7400.0,12.0,1,16,1.308996939,0.000174533
"ABS-7 (Koreasat 3, Mugungwha 3)",31,5,4,1,,35780.0,35791.0,0.00013000000000000002,1436.06,3500.0,1800.0,4800.0,15.0,3,0,2.027723525,0.000174533
AcrimSat (Active Cavity Radiometer Irradiance Monitor),65,10,38,2,6,670.0,710.0,0.00283,98.6,115.0,13.0,10.0,5.0,21,123,,1.7069320080000001
"Advanced Orion 2 (NROL 6, USA 139)",65,15,20,1,,35560.0,36013.0,0.005370000000000001,1436.14,4500.0,,,,1,129,-0.253072742,0.134739418
"Advanced Orion 3 (NROL 19, USA 171)",65,15,20,1,,35589.0,35984.0,0.00468,1436.1,4500.0,,,,1,128,1.6650441059999999,0.055850536
"Advanced Orion 4 (NRO L-26, USA 202)",65,15,20,1,,35714.0,35937.0,0.00264,1438.8,5000.0,,,,1,34,0.767944871,0.050440015
"Advanced Orion 5 (NRO L-32, USA 223)",65,15,20,1,,35500.0,35500.0,0.0,,5000.0,,,,1,34,1.761037215,0.0
"Advanced Orion 6 (NRO L-15, USA 237)",65,15,20,1,,35771.0,35805.0,0.0004,23.94,5000.0,,,,1,34,1.047197551,0.0
"AEHF-1 (Advanced Extremely High Frequency satellite-1, USA 214)",65,15,4,1,,35872.0,36103.0,0.0027300000000000002,1446.36,6169.0,,,14.0,1,19,-1.2042771840000002,0.076096355
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",65,15,4,1,,35700.0,35700.0,0.0,1306.29,6169.0,,,14.0,1,19,-2.094395102,0.35587263399999997
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",65,15,4,1,,35700.0,35700.0,0.0,1306.29,6169.0,,,14.0,1,19,,0.35587263399999997
Aeneas,65,10,44,2,,480.0,790.0,0.02213,97.4,3.0,,,,21,19,,0.000349066
Aerocube 4.5A,65,5,44,2,,495.0,791.0,0.0211,97.5,4.5,,,,21,19,,1.127482697
Aerocube 4.5B,65,5,44,2,,499.0,792.0,0.020880000000000003,97.6,4.5,,,,21,19,,1.127482697
Aerocube 5A,65,5,44,2,,443.0,886.0,0.03149,98.0,5.0,,,2.0,21,19,,2.09963109
Aerocube 5B,65,5,44,2,,443.0,886.0,0.03149,98.0,5.0,,,2.0,21,19,,2.09963109
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M)",42,5,4,1,,35764.0,35808.0,0.0005200000000000001,1436.08,3460.0,1555.0,7000.0,15.0,3,7,0.837758041,0.002094395
"Africasat-1 (Measat 1, Malaysia East Asia Sat 1)",39,5,4,1,,35784.0,35787.0,4e-05,1436.06,1450.0,650.0,1200.0,12.2,3,4,0.803375055,0.019547688
